CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label class
1,0.558110627,0.125,20,0.166666667,0.5,0,1
1,0.323515453,0.03125,252,0.045454545,0.5,0,1
2,0.61453085,0.090909091,63,0.078947368,0.5,0,1
1,0.339623272,0.020408163,609,0.052631579,0.5,0,1
1,0.274907578,0.038461538,126,0.026315789,0.5,0,1
2,0.61453085,0.064516129,252,0.078947368,0.5,0,1
2,0.730027191,0.074074074,168,0.137426901,0.5,4,1
2,0.61453085,0.068965517,210,0.078947368,0.5,3,1
1,0.339623272,0.025641026,399,0.052631579,0.5,0,1
1,0.274907578,0.028571429,315,0.026315789,0.5,0,1
1,0.369269373,0.041666667,84,0.066666667,0.5,0,1
1,0.274907578,0.035714286,168,0.026315789,0.5,2,1
1,0.369269373,0.041666667,84,0.066666667,0.5,0,1
4,1.470490978,0.137931034,252,0.265530303,0.5,0,1
4,1.470490978,0.081632653,672,0.265530303,0.5,0,1
1,0.369269373,0.041666667,84,0.066666667,0.5,0,1
1,0.369269373,0.035714286,168,0.066666667,0.5,0,1
1,0.274907578,0.035714286,168,0.026315789,0.5,4,1
