CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
4,2.164042561,0.6,1,0.75,1,4,-1
4,2.164042561,0.6,1,0.75,1,4,-1
0,0,0,1.5625,0,0.25,0,-1
0,0,0,1.25,0,0.25,0,-1
0,0,0,1.785714286,0,0.25,0,-1
0,0,0,1.25,0,0.25,0,-1
0,0,0,1.875,0,0.25,0,-1
0,0.296974204,0.166666667,1.25,0.034482759,0.5,0,-1
4,2.411882611,0.130434783,1.647727273,0.642592593,1,4,-1
4,2.395785433,0.130434783,1.534090909,0.636206897,1,4,-1
0,0,0,1.25,0,0.25,0,-1
3,0.897361484,0.166666667,1.625,0.106002554,0.5,3,-1
0,0,0,1.52027027,0,0.333333333,0,-1
0,0,0,1.25,0,0.25,0,-1
0,0,0,1.666666667,0,0.25,0,-1
0,0,0,1.25,0,0.25,0,-1
0,0,0,1.5625,0,0.25,0,-1
0,0,0,1.5625,0,0.25,0,-1
0,0,0,1.875,0,0.333333333,0,-1
0,0,0,1.5625,0,0.25,0,-1
0,0,0,1.25,0,0.25,0,-1
0,0,0,2,0,0.25,0,-1
0,0,0,1.25,0,0.25,0,-1
0,0,0,1.3,0,0.333333333,0,-1
0,0,0,1.25,0,0.25,0,-1
0,0,0,1.944444444,0,0.25,0,-1
0,0,0,1.363636364,0,0.25,0,-1
0,0,0,1.375,0,0.25,0,-1
0,0,0,1.25,0,0.25,0,-1
0,0,0,1.25,0,0.25,0,-1
0,0.60038728,0.086956522,1.369047619,0.071519796,0.5,0,-1
